,X,Birdtree,Binomial,Order,Family,Species,Code,Category,Status,Skull.width..mm.,Head.mass..g.,Umbo_distancetoTMplane,totalEClength,Behind.TM,totalECDlength,meanTMangle,TMtotalarea,FPtotalarea,CAtotalarea,RWtotalarea,dis_coltip_TMcentroid,Columella.length.mm,Columella.volume.mm3,area_ratio,bodymass_lit,spp_audio,audio_relation
122,122,Gyps coprotheres,Gyps_coprotheres,Accipitriformes,Acciptridae,Cape vulture,CV-01-2019,Terrestrial,Scanned,NA,210.99,1.062543,3.32968,7352.46,5.786577,14.218864,60.229336,1.10723,6.263625,8.428413,1.956677,6.75382,0.870640375,54.39640906,8177,NA,NA
123,123,Dromaius novaehollandiae,Dromaius_novaehollandiae,Cassuariiformes,Cassuariidae,Emu,Emu-01-2019,Terrestrial,Scanned,NA,319.5,2.598442,3.559185,22347.44,6.900152,22.1754972,140.6281451,4.8282468,0.8077109,16.6824494,3.3110994,7.3565,2.537052375,29.12613023,34200,NA,NA
124,124,Polemaetus bellicosus,Polemaetus_bellicosus,Accipitriformes,Accipitridae,Martial eagle,ME-01-2019,Terrestrial,Scanned,NA,165.83,1.515718,3.0380051,8254.23,5.8196564,18.6869273,66.9103244,2.7275213,0.5075483,6.9877024,2.1957679,6.96264,1.207549091,24.53154973,4063,NA,NA
125,125,Diomedea exulans,Diomedea_exulans,Procellariiformes,Diomedeidae,Wandering albatross,WA-01-2019,Surface foraging,Scanned,75.93,500,0.5274912,3.6362536,29820.48,8.6698374,8.4706575,56.6957163,3.9898184,5.9967756,7.6606724,2.5643728,11.612186,1.453290377,14.21009946,8190,NA,NA
126,126,Thalassarche melanophrys,Thalassarche_melanophris,Procellariiformes,Diomedeidae,Black-browed albatross,BBA-01-2019,Surface foraging,Scanned,NA,250,0.4528272,2.4062124,3590.05,6.3602562,6.6969688,51.1482798,1.4295176,2.6033579,3.5538239,2.1443176,8.306946,1.125120375,35.78009799,3564,NA,NA
127,127,Eudyptes chrysolophus,Eudyptes_chrysolophus,Sphenisciformes,Spheniscidae,Macaroni penguin,MP-01-MA-2019,Pursuit diving,Scanned,NA,350,0.8487631,2.5186203,395.24,6.595366,23.8542373,12.7812765,1.4043968,4.5420858,5.6678876,1.5376537,5.57764,1.023372067,9.100901184,4490,NA,NA
128,128,Aptenodytes patagonicus,Aptenodytes_patagonicus,Sphenisciformes,Spheniscidae,King penguin,KP-01-MA2019,Pursuit diving,Scanned,NA,450,0.4165668,1.9151788,933.27,8.3703108,10.4554861,17.420718,1.8071326,5.1978665,10.7396642,1.0093089,6.743894,1.473911695,9.639977719,11751,NA,NA
129,129,Bubo africanus,Bubo_africanus,Strigiformes,Strigidae,African spotted eagle owl,ASEO-02-2019,Terrestrial,Scanned,NA,81.27,2.22645002,3.25919085,4538.95,8.1173615,25.92703625,73.7844033,3.05103025,0.08875035,9.1102267,3.05140766,4.599785,1.087776,24.18343879,1138,Bubo_africanus,Congener
130,130,Grus paradisea,Grus_paradisea,Gruiformes,Gruidae,Blue crane,Bcrane-03-2019,Terrestrial,Scanned,NA,178.3,1.3380573,2.3955454,7224.56,6.2069614,17.032265,66.6379959,1.7400396,4.3734225,7.1589645,1.0149503,4.845777,0.805184,38.29682721,4654,NA,NA
131,131,Plectropterus gambensis,Plectropterus_gambensis,Anseriformes,Anatidae,Spur-winged goose,SWG-01-2019,Terrestrial,Scanned,NA,239.1,1.0747323,2.289596,1464.1,6.2858044,17.0227799,42.3459403,1.6275323,0.1066688,5.7552095,1.9821012,3.656271,0.461730375,26.01849456,3869,NA,NA
132,132,Ardea melanocephala,Ardea_melanocephala,Pelecaniformes,Ardeidae,Black-headed heron,BHH-01-2019,Surface foraging,Scanned,NA,72.2,1.3899336,2.3222976,1866.13,5.0787383,21.6693453,40.8912117,1.3462176,0.1596304,3.5335437,1.6691333,2.936704,0.315,30.37489014,1060,NA,NA
133,133,Megaceryle maxima,Megaceryle_maxima,Coraciiformes,Alcedinidae,Giant kingfisher,GKF-01-2019,Surface foraging,Scanned,38.97,NA,0.7478643,1.9539053,1370.73,5.736625,16.3665536,21.8602269,1.7727858,0.2050824,1.3748971,1.1875623,3.433194,0.531167625,12.33100293,325,NA,NA
134,134,Gallinula tenebrosa,Gallinula_comeri,Gruiformes,Rallidae,Gough moorhen,GM-01-2019,Terrestrial,Scanned,19.72,NA,0.9603115,1.4667058,456.46,4.2708402,21.5029989,19.6410551,0.8376518,0.1901241,2.4412601,1.2175577,2.273073,0.158830875,23.4477561,382,NA,NA
135,135,Pelecanus onocrotalus,Pelecanus_onocrotalus,Pelecaniformes,Pelecanidae,Great white pelican,GWP-01-2019,Surface foraging,Scanned,NA,950,1.146811,3.22971,13701.3,8.749335,15.482733,83.225582,3.847139,7.646572,7.22137,2.138691,13.427938,1.488289,21.63311022,9520,NA,NA
136,136,Puffinus gravis,Ardenna_gravis,Procellariiformes,Procellariidae,Great shearwater,GRSH01-2019,,Scanned,36.1,NA,0.5106515,1.9135485,NA,4.586473,14.291729,12.4234334,1.1436508,2.7832785,2.131114,1.2085534,4.093471,0.657585,10.86296044,849,NA,NA
