,X,Birdtree,Binomial,Order,Family,Species,Code,Category,Status,Skull.width..mm.,Head.mass..g.,Umbo_distancetoTMplane,totalEClength,Behind.TM,totalECDlength,meanTMangle,TMtotalarea,FPtotalarea,CAtotalarea,RWtotalarea,dis_coltip_TMcentroid,Columella.length.mm,Columella.volume.mm3,area_ratio,bodymass_lit,spp_audio,audio_relation
42,42,Fratercula arctica,Fratercula_arctica,Charadriiformes,Alcidae,Atlantic Puffin,Puffin01-2019,Pursuit diving,Scanned,28.24967965,49.6,0.518773,1.4630612,178.9373545,4.3838202,16.0634753,11.5280521,0.6112787,1.4310587,2.3031944,0.649545,2.4,0.11,18.85891345,381,NA,NA
43,43,Alca torda,Alca_torda,Charadriiformes,Alcidae,Razorbill,RZB01,Pursuit diving,Scanned,32.26875,71.7,0.1778306,1.5822544,329.8617554,4.924899,8.3837681,3.2696696,0.4747957,1.7593584,1.8257043,1.346369,2.765625,0.1559,6.886476857,760,NA,NA
44,44,Pelecanoides georgicus,Pelecanoides_georgicus,Procellariiformes,Procellariidae,South georgia diving petrel,SGDP-01-2014,Pursuit diving,Scanned,20.67137931,14.5,NA,NA,NA,2.943577,NA,NA,0.399619,1.192145,NA,NA,1.427,0.046605,NA,121,NA,NA
45,45,Anas georgica,Anas_georgica_georgica,Anseriformes,Anatidae,South georgia pintail,SGPT-01-2019,Surface foraging,Scanned,21.45430464,19.1,0.6361948,1.4708229,269.1001,3.7739122,17.403385,13.3385907,0.6611142,0.2593077,1.770922,1.01821,1.591390728,0.066732749,20.17592528,718,Anas_georgica_georgica,Congener
46,46,Phalacrocorax atriceps,Leucocarbo_georgianus,Suliformes,Phalacrocoridae,South georgia shag,SGS-01-2019,Pursuit diving,Scanned,34.13483146,89,0.6432013,1.3055639,226.1856053,5.9708129,23.6409924,7.9044255,0.5135418,4.9158542,2.2743054,0.4671142,3.82247191,0.353427172,15.39198075,2678,NA,NA
47,47,Pagodroma nivea,Pagodroma_nivea,Procellariiformes,Procellariidae,Snow petrel,SP-01-2019,Surface foraging,Scanned,28.6,22.2,0.3984209,1.0730913,306.8,3.8447998,11.1071243,13.1058062,0.4924282,1.1647012,2.3331084,0.8509195,1.97,0.0593,26.61465408,268,NA,NA
48,48,Catharacta maccormicki,Stercorarius_maccormicki,Charadriiformes,Steracoraridae,South polar skua,SPS-02,Surface foraging,Scanned,40.67142857,80.7,0.7516045,2.5065494,2111.682099,5.5926418,14.8927448,25.9730082,0.9748909,1.8232846,2.7057444,1.7533235,4.281096,0.255591229,26.64196394,1349,NA,NA
49,49,Oceanites oceanicus,Oceanites_oceanicus,Procellariiformes,Oceanitidae,Wilson's storm petrel,WSP-01,Surface foraging,Scanned,13.6,5.6,0.2757032,0.7112398,NA,1.9378754,14.813063,3.7403708,0.1737297,0.3125621,0.4801749,0.7484926,0.802487,0.016926407,21.52982938,32,NA,NA
50,50,Burhinus capensis,Burhinus_capensis,Charadriiformes,Burhinidae,Spotted thick-knee,STK-01-2019,Terrestrial,Scanned,22.86,33.41,1.1136991,2.1559538,1235.18,4.5796171,18.2131156,37.383135,1.0782078,2.0321127,4.2565125,1.7128229,2.938,0.2028,34.6715494,432,NA,NA
51,51,Falco peregrinus,Falco_peregrinus,Falconiformes,Falconidae,Peregrine falcon,PF-01-2019,Terrestrial,Scanned,36.84,38.15,1.50946522,1.84338005,NA,4.70412654,25.400313,34.39000966,1.14561136,0.10703145,3.11282186,1.14679746,3.951837,0.288510897,30.01891467,1047.5,NA,NA
52,52,Tyto alba,Tyto_alba,Strigiformes,Strigidae,Western barn owl,BO-02-2019,Terrestrial,Scanned,34.46,32.15,1.7537725,2.1145756,3956.5,9.4940877,24.8427158,51.7923509,1.395259,0.1211465,5.6232258,2.6675656,3.417,0.4109,37.1202414,350,Tyto_alba,Yes
53,53,Falco naumanni,Falco_rupicolus,Falconiformes,Falconidae,Rock kestrel,RK-01-2019,Terrestrial,Scanned,29.8,18.4,1.0354785,2.0387952,801.1,4.765928,18.6674681,30.3048114,0.8583966,0.127977,2.7465963,1.3168819,2.69,0.175,35.30397418,152.5,Falco_rupicolus,Congener
54,54,Columba livia,Columba_livia,Columbiformes,Columbidae,Rock dove,RD-04-2019,Terrestrial,Scanned,21.32,16.3,0.9073511,1.994912,659.42,3.9322515,19.5965407,21.5382999,1.0289039,0.1327877,2.8083659,1.4139177,2.011,0.0922,20.93324741,354.5,Columba_livia,Yes
55,55,Accipiter melanoleucus,Accipiter_melanoleucus,Accipitriformes,Accipitridae,Black sparrowhawk,BSH-01-2019,Terrestrial,Scanned,35.64,29.6,1.5100398,2.53647196,1545,4.42096729,23.39967013,40.47399713,1.35908963,0.09244153,3.33533458,1.55857014,3.611792,0.223235,29.78022658,699,Accipiter_melanoleucus,Congener
56,56,Streptopelia semitorquata,Streptopelia_semitorquata,Columbiformes,Columbidae,Red-eyed dove,RED-01-2019,Terrestrial,Scanned,17.72,9.78,1.11099344,1.83429932,533.55,3.6306968,23.67596511,21.6246203,0.95096559,0.06656693,2.47008304,1.32977744,1.992694,0.08713121,22.7396454,176,NA,NA
57,57,Columba livia,Columba_livia,Columbiformes,Columbidae,Rock dove,RD-03-2019,Terrestrial,Scanned,20.35,17.55,0.88070627,1.8319173,676.32,4.16176355,19.24464617,20.92468818,1.08990091,0.07016093,2.33623915,1.42513689,2.028,0.145,19.19870695,354.5,Columba_livia,Yes
58,58,Numida meleagris,Numida_meleagris,Galliformes,Numididae,Helmeted guinea fowl,GF-02-2019,Terrestrial,Scanned,23.9,35.75,0.949588,1.7854764,827.15,4.7897142,20.2981381,21.699102,1.0561168,0.1907102,2.7612593,1.1077554,2.35,0.1395,20.54611952,1299,NA,NA
59,59,Columba guinea,Columba_guinea,Columbiformes,Columbidae,Speckled pigeon,ARP-01-2019,Terrestrial,Scanned,19.97,14.45,0.80349438,1.6174653,525.12,3.78215705,19.63547248,17.9875384,0.9226929,0.06910301,2.83427579,1.26068188,1.953006,0.119878801,19.49461018,352,NA,NA
60,60,Onychognathus morio,Onychognathus_morio,Passeriformes,Sturnidae,Red-winged starling,RWS-01-2019,Terrestrial,Scanned,22.65,15.92,0.70813523,1.24881103,340.77,3.61983106,21.74509619,12.493637,0.78790067,0.07320644,1.7777538,1.06925115,1.98,0.0799,15.8568681,138,NA,NA
61,61,Gallinula chloropus,Gallinula_chloropus,Gruiformes,Rallidae,Common moorhen,CMH-01-2019,Surface foraging,Scanned,17.3,16.72,0.5722977,1.5565606,330.51,3.7969893,14.7545262,15.0100572,0.7062385,0.2243202,1.9118256,1.2856434,1.739447,0.044293057,21.25352441,305,NA,NA
62,62,Erythrura gouldiae,Erythrura_gouldiae,Passeriformes,Estrildidae,Gouldian finch,GoldF-01-2019,Terrestrial,Scanned,12.85,2.84,0.61037109,0.91399945,51,2.64943649,21.88609214,7.70418575,0.36586643,0.01054029,0.55800629,0.80844128,1.195116,0.025664878,21.05737263,13.8,NA,NA
63,63,Colius striatus,Colius_striatus,Coliiformes,Coliidae,Speckled mousebird,MB-01-2019,Terrestrial,Scanned,14.94,4.8,0.64045344,1.49760776,119.403,3.2826339,20.06689029,10.06835532,0.61949687,0.06663598,1.67137729,0.83118695,1.16,0.05489,16.25247165,51.1,NA,NA
64,64,Melopsittacus undulatus,Melopsittacus_undulatus,Psittaciformes,Psittaculidae,Budgerigar,BG-01-2019,Terrestrial,Scanned,15.21,4.8,0.412429,1.1347727,194.24,2.5742627,14.3664579,8.2792951,0.3582206,0.1741388,0.7226192,0.9112293,1.33,0.0195,23.11228081,29,Melopsittacus_undulatus,Yes
65,65,Cypsiurus parvus,Cypsiurus_parvus,Apodiformes,Apodidae,Palm swift,PS-01-2019,Terrestrial,Scanned,16.9,7.8,0.7770977,1.4719409,144.629,3.2247655,25.830179,8.8397403,0.5209505,0.130978,0.9448471,0.9971321,1.61,0.04,16.96848415,13.6,NA,NA
66,66,Columba arquatrix,Columba_arquatrix,Columbiformes,Columbidae,African olive pigeon,OP-01-2019,Terrestrial,Scanned,21.66,14.75,1.0212768,1.93788003,789.82,4.09223678,20.20332863,24.91620101,1.32107433,0.06737541,2.74787267,1.42455452,2.25,0.112,18.8605595,400,NA,NA
67,67,Vanellus coronatus,Vanellus_coronatus,Charadriiformes,Charadriidae,Crowned lapwing,CL-01-2019,Terrestrial,Scanned,NA,16.7,0.7836018,1.4719083,468.26,3.5944299,17.3198979,21.134598,0.7716802,0.1458934,2.9619745,1.1570431,1.964362,0.076478532,27.38776763,165,NA,NA
68,68,Elanus caeruleus,Elanus_caeruleus,Accipitriformes,Accipitriformes,Black-winged kite,BSK-01-2019,Terrestrial,Scanned,NA,20.15,0.76560818,2.23402372,810.53,3.94366897,15.74604397,24.58792428,0.9135116,0.09111362,3.00685667,1.70510124,3.18235,0.150285375,26.91583148,260.5,NA,NA
69,69,Pavo muticus,Pavo_muticus,Galliformes,Phasianidae,Green peacock,PC-01-2019,Terrestrial,Scanned,31.93,48.28,1.117762175,2.12673294,1608.85,4.486705236,19.58820063,33.35602165,1.060740815,0.240420861,3.672998975,1.803762337,2.68,0.154,31.44596793,4194,Pavo_muticus,Congener
70,70,Psittacus erithacus,Psittacus_erithacus,Psittaciformes,Psittacidae,African grey parrot,AGP-02-2019,Terrestrial,Scanned,NA,55.5,1.1171122,2.1823494,1718.54,4.7937612,18.5622359,36.5163582,1.0489812,0.0543031,2.9639072,1.7242768,3.149118,0.168478989,34.81126087,333,NA,NA
71,71,Calandrella cinerea,Calandrella_cinerea,Passeriformes,Alaudidae,Red-capped lark,RCL-01-2019,Terrestrial,Scanned,16.45,4.67,NA,1.2386097,185.7,2.6196988,NA,NA,0.57668066,0.01395311,1.36526396,0.29213829,1.649528,0.063860565,NA,23.7,NA,NA
72,72,Anthus hodgsoni,Anthus_cinnamomeus,Passeriformes,Motacillidae,African pipit,Apip-02-2019,Terrestrial,Scanned,NA,6.79,0.79783522,1.56660078,NA,2.90481521,26.59448076,9.71792196,0.64799345,0.05883687,1.09456945,0.69212103,1.606118,0.067754059,14.99694474,27,NA,NA
73,73,Macronyx capensis,Macronyx_capensis,Passeriformes,Motacillidae,Cape long claw,CLC-01-2019,Terrestrial,Scanned,NA,6.19,NA,NA,NA,2.91959841,NA,NA,NA,0.05860408,NA,NA,1.521262,0.072046,NA,45.81,NA,NA
74,74,Haematopus moquini,Haematopus_moquini,Charadriiformes,Haematopodidae,Black oystercatcher,OY002 SANCCOB-2019,Terrestrial,Scanned,28.39,37.7,0.9375006,1.7667068,1071.35,4.9817004,19.8598504,21.7184293,0.8890131,1.6584414,2.2769094,1.521178,2.43,0.158,24.4298192,555,NA,NA
75,75,Corvus albus,Corvus_albus,Passeriformes,Corvidae,Pied crow,PCrow-01-2019,Terrestrial,Scanned,37.01,53.92,1.5319363,2.7177645,1471.49,4.5305249,24.8981807,37.5718842,1.6935921,0.2807701,3.4401069,1.9468953,3.872235,0.535319916,22.18473043,524,Corvus_albus,Congener
76,76,Phalacrocorax neglectus,Phalacrocorax_neglectus,Suliformes,Phalacrocoridae,Bank cormorant,BC-01-2019,Pursuit diving,Scanned,34.33,80.6,0.2509541,0.5833635,134.43,5.4156157,8.1593249,9.8419012,0.5091979,3.3504251,2.8702211,0.7566186,3.76051,0.280155,19.32824389,1950.5,Phalacrocorax_neglectus,Congener
77,77,Bostrychia hagedash,Bostrychia_hagedash,Pelecaniformes,Threskiornithidae,Hadada ibis,HI-02-2019,Terrestrial,Scanned,31.47,57.5,1.0201259,2.2622577,2050.61,5.5101327,19.4322418,27.8073793,0.9268587,2.3335504,2.9210611,1.9785273,2.84,0.121,30.00174601,1238,NA,NA
78,78,Grus paradisea,Grus_paradisea,Gruiformes,Gruidae,Blue crane,Bcrane-01-2019,Terrestrial,Scanned,37.2,76.31,0.967878,2.79362,4334.98,5.994886,13.68862,50.072915,1.362492,5.560856,8.822978,2.00989,3.52,0.315,36.75097909,4654,NA,NA
79,79,Phaethon rubricauda,Phaethon_rubricauda,Phaethontiformes,Phaethontidae,Red-tailed tropicbird,RTTB-01-2019,Pursuit diving,Scanned,45.03,73.62,0.9511394,2.6607811,7377.6,5.3782385,17.7905741,31.3213979,0.711968,1.6662195,2.374544,1.3390766,7.09,0.9586,43.99270459,659,NA,NA
80,80,Taeniopygia guttata,Taeniopygia_guttata,Passeriformes,Estrildidae,Zebra finch,ZF-01-2019,Terrestrial,Scanned,12.36,3.5,0.5186764,1.0814624,57.49,2.505653,20.3115193,6.7131659,0.281976,0.127477,0.5778411,0.8293847,1.09787,0.009001,23.80757901,540.5,Taeniopygia_guttata,Yes
81,81,Pachyptila salvini,Pachyptila_salvini,Procellariiformes,Procellariidae,Salvin's prion,SAL-13-2019,Surface foraging,Scanned,22.58,22.36,0.4924027,1.3628514,159.98,3.2651535,15.599761,9.8333243,0.5422376,1.0343324,1.0734936,1.0775475,2.12,0.088,18.13471493,159,NA,NA
82,82,Columba livia,Columba_livia,Columbiformes,Columbidae,Rock dove,RD-02-2019,Terrestrial,Scanned,21.77,26.18,0.87851611,2.05186354,941.87,4.20970794,18.89149035,21.87127488,1.31221537,0.07673939,2.72167775,1.44555429,2.322,0.182,16.667443,354.5,Columba_livia,Yes
83,83,Anhinga rufa,Anhinga_rufa,Suliformes,Anhingidae,African darter,D001-2019,Pursuit diving,Scanned,19.51,33.56,0.4665473,0.6206779,88.56,4.6415808,12.575695,13.6091365,0.524124,1.1364284,1.8696899,0.3023286,2.894,0.18978,25.96549004,1396.5,NA,NA
84,84,Sterna bergii,Thalasseus_bergii,Charadriiformes,Laridae,Greater crested tern,ST007-2019,Surface foraging,Scanned,27.74,33.6,0.5248295,1.5845529,872.07,4.2512161,12.0399215,17.6752279,0.6398776,1.0471519,1.6010241,1.3178608,2.686487,0.128885031,27.62282646,328,NA,NA
85,85,Falco biarmicus,Falco_biarmicus,Falconiformes,Falconidae,Lanner falcon,LF-01-2019,Terrestrial,Scanned,40.99,44.01,1.226989,2.1257643,2745.21,5.228294,17.8211476,47.8053075,1.3904051,0.3048736,4.4234112,1.6532662,3.886593,0.332012844,34.38228722,616,NA,NA
86,86,Gallus gallus,Gallus_domesticus,Galliformes,Phasianidae,Chicken,Ch-01-2019,Terrestrial,Scanned,25.01,44.9,1.1009986,2.5011977,1097.11,5.2137573,22.892918,23.1639932,0.7309982,1.0031105,2.3076867,1.6565768,2.25,0.2,31.68816722,904,Gallus_domesticus,Yes
87,87,Gallus gallus,Gallus_domesticus,Galliformes,Phasianidae,Chicken,Ch-02-2019,Terrestrial,Scanned,24.03,45.14,1.1615648,2.4901357,918.5,5.5470318,21.7176734,28.0898334,1.0289552,1.3994324,1.9717164,1.8749551,2.19,0.2508,27.29937455,904,Gallus_domesticus,Yes
88,88,Puffinus gravis,Ardenna_gravis,Procellariiformes,Procellariidae,Great shearwater,21May2019 GRSH-01-ARR,Pursuit diving,Scanned,35.78,71.8,0.398339,1.926593,NA,4.872203,11.413413,12.73822,1.157475,2.993283,2.591772,1.885892,3.408656,0.337964,11.00517938,849,NA,NA
89,89,Francolinus capensis,Pternistis_capensis,Galliformes,Phasianidae,Cape spurfowl,Cfranc-01-2019,Terrestrial,Scanned,22.79,24.75,0.63992212,1.34317162,NA,4.38528638,13.06930678,24.77812726,0.78418222,0.05318617,3.24575623,1.11149994,2.399383,0.12778425,31.59741018,NA,NA,NA
90,90,Sterna sandvicensis,Thalasseus_sandvicensis,Charadriiformes,Laridae,Sandwich tern,TO003,Surface foraging,Scanned,25.36,30.02,0.4225736,1.4858183,574.11,4.3861762,12.2011883,11.4169459,0.4954139,1.0671756,1.1923377,0.9307185,2.514694,0.144623981,23.0452676,208,NA,NA
91,91,Poicephalus robustus,Poicephalus_robustus,Psittaciformes,Psittacidae,Cape parrot,Cpar-02-2019,Terrestrial,Scanned,33.26,37.81,0.9768876,1.8135614,922.15,4.6492286,18.0179562,31.0750358,1.106311,0.2238112,2.8987426,2.1406355,2.95133,0.218736613,28.08887899,344,NA,NA
92,92,Stigmatopelia senegalensis,Streptopelia_senegalensis,Columbiformes,Columbidae,Laughing dove,LD-01-2019,Terrestrial,Scanned,15.43,6.75,0.77518245,1.33265637,203.21,3.22367969,21.78866127,12.48577163,0.69075377,0.06075206,1.48761501,1.07570994,1.52023,0.045416046,18.07557508,101,NA,NA
93,93,Tchagra tchagra,Tchagra_tchagra,Passeriformes,Malaconotidae,Southern Tchagra,Stch-01-2019,Terrestrial,Scanned,18.18,5.3,0.76981348,1.06063094,270.88,3.56249924,19.33185339,15.92921235,0.63038997,0.02638024,1.21558981,0.87037506,1.594575,0.075720475,25.26882265,50.3,NA,NA
94,94,Dicrurus adsimilis,Dicrurus_adsimilis,Passeriformes,Dicruridae,Fork-tailed drongo,FTDrong-01-2019,Terrestrial,Scanned,20.48,8.6,0.94667312,1.75688844,NA,3.32792903,24.89910639,14.32900733,0.78687363,0.03226422,1.20509305,0.97805757,1.994594,0.082463822,18.21004896,40.3,NA,NA
95,95,Tauraco corythaix,Tauraco_corythaix,Musophagiformes,Musophagidae,Knysna turaco,KTC-01-2020,Terrestrial,Scanned,23.32,17.31,0.8564542,1.648277,NA,4.1838561,19.233443,21.2172372,0.8843953,0.3625502,3.1072879,1.2077208,2.185375,0.17677575,23.99067159,3.8,NA,NA
96,96,Centropus superciliosus,Centropus_burchellii,Cuculiformes,Cuculidae,Burchell's Coucal,Bcouc-01-2020,Terrestrial,Scanned,23.13,18.86,1.2476668,1.9170929,708.67,4.972016,22.6262193,30.2566837,1.1795103,0.6428392,2.0192201,1.518516,2.53547,0.150427125,25.65190291,NA,NA,NA
97,97,Lorius lory,Lorius_lory,Psittaciformes,Psittaculidae,Black-capped lory,BCL-01-2019,Terrestrial,Scanned,26.37,32.38,0.7464809,1.5918436,NA,4.0572667,20.425742,13.6155821,0.8581717,0.3661005,1.9017026,1.367626,4.973206,0.230842224,15.8658018,177,NA,NA
98,98,Lanius collaris,Lanius_collaris,Passeriformes,Laniiidae,Southern fiscal,Cfisc-01-2019,Terrestrial,Scanned,20.69,5.3,0.83607381,1.46637956,530.32,3.31168516,21.37692936,15.55687248,0.61166378,0.02247457,1.37014205,1.14292261,1.910522,0.096761038,25.43369902,40.8,NA,NA
99,99,Turdus olivaceus,Turdus_olivaceus,Passeriformes,Turdidae,Olive thrush,Othrush-01-2019,Terrestrial,Scanned,18.88,5.84,1.27030667,1.71105757,NA,3.74101703,32.56760931,15.08961874,0.54429425,0.02766176,1.35405528,0.70251213,1.535978,0.0885115,27.7232742,78.1,NA,NA
100,100,Agapornis lilianae,Agapornis_lilianae,Psittaciformes,Psittaculidae,Lilian's lovebird,LB-01-2019,Terrestrial,Scanned,NA,24.75,0.5563645,1.3259152,162.2,3.0455571,17.6450957,9.903959,0.4185988,0.1334343,0.8915204,1.0171581,1.584508,0.057332825,23.65978832,37.3,NA,NA
101,101,Anthreptes collaris,Hedydipna_collaris,Passeriformes,Nectariniidae,Collard sunbird,CSB-01-2019,Terrestrial,Scanned,NA,2.3,0.48878944,0.7927856,47.25,2.23426984,20.34756546,5.87431273,0.21596657,0.03108748,0.40999735,0.62141912,0.849857,0.010286064,27.20010199,7.4,NA,NA
102,102,Psittacula krameri,Psittacula_krameri,Psittaciformes,Psittaculidae,Indian ring-necked parakeet,RN-02-2019,Terrestrial,Scanned,NA,7.5,0.9647219,1.7217909,294.05,3.3597243,25.6829457,13.736903,0.8282026,0.6416674,2.035738,1.1417906,2.401776,0.125172175,16.5864041,116.5,NA,NA
103,103,Crecopsis egregia,Crex_egregia,Gruiformes,Rallidae,African crake,Acrake-01-2020,Terrestrial,Scanned,NA,9.11,0.95206861,1.65434881,564.62,3.83326545,20.43015065,21.6410302,0.72316285,0.09340807,2.27559988,1.45637021,1.656124,0.042705685,29.92552812,119,NA,NA
